sura,ayat,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2,8,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.25,0.011904763,0.011904763,0.011904763,0.13095239,0.48809525
2,9,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.22340426,0.0106382985,0.117021285,0.117021285,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.43617022
2,10,0.00877193,0.00877193,0.09649123,0.00877193,0.4473684,0.00877193,0.00877193,0.18421052,0.00877193,0.00877193,0.00877193,0.00877193,0.09649123,0.09649123
2,11,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.09649123,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.27192983,0.18421052,0.35964912
2,12,0.171875,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.171875,0.015625,0.015625,0.015625,0.171875,0.171875,0.171875
2,13,0.26623377,0.006493507,0.006493507,0.13636364,0.006493507,0.006493507,0.006493507,0.006493507,0.006493507,0.006493507,0.006493507,0.006493507,0.2012987,0.33116883
2,14,0.007462687,0.15671642,0.15671642,0.15671642,0.08208956,0.007462687,0.007462687,0.007462687,0.007462687,0.007462687,0.007462687,0.08208956,0.007462687,0.30597016
2,15,0.013513514,0.013513514,0.28378376,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.554054,0.013513514
2,16,0.00877193,0.00877193,0.00877193,0.00877193,0.18421052,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.18421052,0.18421052,0.27192983,0.09649123
2,17,0.08208956,0.007462687,0.08208956,0.08208956,0.007462687,0.007462687,0.007462687,0.007462687,0.15671642,0.15671642,0.007462687,0.007462687,0.15671642,0.23134328
2,18,0.57407403,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.2037037,0.018518519
2,19,0.10294117,0.004901961,0.004901961,0.2009804,0.2009804,0.05392157,0.05392157,0.004901961,0.2009804,0.004901961,0.004901961,0.004901961,0.10294117,0.05392157
2,20,0.0042735045,0.0042735045,0.0042735045,0.13247862,0.047008548,0.17521368,0.0042735045,0.047008548,0.17521368,0.047008548,0.0042735045,0.0042735045,0.13247862,0.21794872
2,21,0.013513514,0.013513514,0.14864865,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.4189189,0.28378376
